Room,Presence,Exposure
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
10088,0,0.0
