56,1.0,1,3,3
56,1.0,4,8,8
56,5.0,8,6,10
56,6.0,10,7,14
56,4.0,8,8,13
56,1.0,1,4,4
56,5.0,5,8,8
56,1.0,1,5,5
56,1.0,5,7,8
56,1.0,1,4,4
56,7.0,7,7,8
56,1.0,1,4,4
56,4.0,106,28,35
56,1.0,3,4,10
56,1.0,7,7,9
56,1.0,1,7,7
56,25.0,48,12,25
56,1.0,1,5,5
56,1.0,1,3,3
56,1.0,1,3,3
56,1.0,1,3,3
56,1.0,1,4,4
56,1.0,1,6,6
56,3.0,20,12,19
56,1.0,1,5,5
56,1.0,1,4,4
56,1.0,1,4,4
56,7.0,84,21,35
56,1.0,1,3,3
56,1.0,1,3,3
56,4.0,5,10,11
56,1.0,1,5,5
56,1.0,1,2,2
56,1.0,1,5,5
56,1.0,1,4,4
56,1.0,1,4,4
56,1.0,1,4,4
56,4.0,4,8,8
56,3.0,3,9,9
56,1.0,1,3,3
56,1.0,1,5,5
56,1.0,1,4,4
56,2.0,2,5,8
56,1.0,1,5,5
56,2.0,4,4,10
56,8.0,21,14,23
56,7.0,19,14,16
56,1.0,1,4,4
56,1.0,1,2,2
56,5.0,103,26,31
56,22.0,26,13,16
56,3.0,4,4,9
56,1.0,9,9,13
56,1.0,1,4,4
56,1.0,1,3,3
56,1.0,1,4,4
56,1.0,25,14,26
56,1.0,17,10,11
56,1.0,1,4,4
56,1.0,1,3,3
56,2.0,4,7,7
56,3.0,15,12,13
56,4.0,4,7,9
56,1.0,1,3,3
56,1.0,1,4,4
56,1.0,1,3,3
56,2.0,3,5,11
56,4.0,18,16,17
56,1.0,1,4,4
56,1.0,1,3,3
56,2.0,2,6,9
56,7.0,72,21,50
56,2.0,3,3,8
56,3.0,15,14,16
56,1.0,1,5,5
56,1.0,2,4,9
56,1.0,1,4,4
56,1.0,1,3,3
56,1.0,1,7,7
56,1.0,1,5,5
56,6.0,12,11,12
56,2.0,9,10,12
56,1.0,1,4,4
56,16.0,43,10,26
56,1.0,1,4,4
56,3.0,3,3,8
56,1.0,1,4,4
56,3.0,76,37,42
56,1.0,1,2,2
56,1.0,1,3,3
56,9.0,16,12,13
56,1.0,1,4,4
56,1.0,15,12,14
56,1.0,1,4,4
56,1.0,1,4,4
56,1.0,1,3,3
56,2.0,4,10,10
56,1.0,1,4,4
56,1.0,1,3,3
56,1.0,1,3,3
