631,1.0,1,5,5
631,1.0,1,4,4
631,1.0,1,5,5
631,1.0,1,3,3
631,1.0,1,5,5
631,1.0,1,3,3
631,1.0,1,4,4
631,1.0,1,4,4
631,1.0,1,4,4
631,1.0,1,5,5
631,1.0,1,4,4
631,1.0,1,4,4
631,1.0,1,3,3
631,1.0,1,5,5
631,1.0,1,5,5
631,1.0,1,6,6
631,1.0,1,4,4
631,1.0,1,2,2
631,1.0,1,4,4
631,1.0,1,4,4
631,1.0,1,4,4
631,1.0,1,4,4
631,2.0,2,5,8
631,1.0,1,3,3
631,1.0,1,2,2
631,1.0,1,3,3
631,1.0,1,4,4
631,1.0,1,3,3
631,1.0,1,5,5
631,1.0,1,3,3
631,1.0,1,5,5
631,1.0,1,5,5
631,1.0,1,6,6
631,1.0,1,5,5
631,1.0,1,4,4
631,1.0,1,4,4
631,1.0,1,4,4
631,1.0,1,5,5
631,1.0,1,4,4
631,1.0,1,4,4
631,1.0,1,5,5
631,1.0,1,3,3
631,2.0,2,4,8
631,1.0,1,4,4
631,1.0,1,5,5
631,1.0,1,4,4
631,1.0,1,3,3
631,1.0,1,4,4
631,1.0,1,5,5
631,1.0,1,4,4
631,1.0,2,3,7
631,1.0,1,5,5
631,1.0,1,3,3
631,1.0,1,4,4
631,1.0,1,5,5
631,1.0,1,5,5
631,1.0,1,4,4
631,1.0,1,3,3
631,1.0,1,5,5
631,1.0,1,4,4
631,2.0,2,3,5
631,1.0,1,3,3
631,1.0,1,4,4
631,1.0,1,4,4
631,1.0,1,4,4
631,1.0,1,5,5
631,1.0,1,3,3
631,1.0,1,3,3
631,1.0,3,4,9
631,1.0,1,3,3
631,1.0,1,4,4
631,1.0,1,3,3
631,1.0,1,6,6
631,1.0,1,5,5
631,2.0,4,3,14
631,1.0,1,5,5
631,1.0,1,4,4
631,1.0,1,4,4
631,1.0,1,3,3
631,1.0,1,4,4
631,1.0,1,4,4
631,2.0,2,6,10
631,1.0,1,5,5
631,1.0,1,5,5
631,1.0,1,5,5
631,1.0,1,3,3
631,1.0,1,4,4
631,1.0,1,5,5
631,1.0,1,5,5
631,2.0,7,11,16
631,1.0,1,6,6
631,1.0,2,5,8
631,1.0,1,3,3
631,1.0,1,3,3
631,1.0,1,3,3
631,1.0,1,4,4
631,1.0,1,3,3
631,1.0,1,3,3
631,1.0,3,4,9
631,1.0,1,7,7
